# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
NCU06043	NCU06043	NCU06043-t26_1	protein_coding	0	7	0	107	2	3	5	61	0	1	0	0	0	0	0	0	0	0	0	4	38
NCU06045	NCU06045	NCU06045-t26_1	protein_coding	0	5	4	122	0	0	0	52	0	7	4	0	0	0	0	0	0	0	0	5	63
NCU06046	NCU06046	NCU06046-t26_1	protein_coding	0	3	6	125	0	0	0	57	0	0	6	0	0	0	0	0	0	0	0	3	68
NCU06047	NCU06047	NCU06047-t26_1	protein_coding	0	1	0	161	9	0	0	77	0	1	0	0	0	0	0	0	0	0	0	1	74
NCU06048	NCU06048	NCU06048-t26_1	protein_coding	0	4	0	141	6	1	6	62	0	2	0	0	0	0	0	0	0	0	0	3	65
NCU06048	NCU06048	NCU06048-t26_2	protein_coding	0	6	0	139	6	0	1	62	0	4	0	0	0	0	3	0	0	0	0	3	67
NCU06049	NCU06049	NCU06049-t26_1	protein_coding	0	25	18	103	0	0	0	38	0	7	18	0	0	0	0	0	0	0	0	25	58
NCU06050	NCU06050	NCU06050-t26_1	protein_coding	0	11	8	134	11	0	1	72	0	0	8	0	0	0	0	0	0	0	0	11	50
NCU06051	NCU06051	NCU06051-t26_1	protein_coding	0	5	4	109	2	0	8	61	0	0	4	0	0	0	0	0	0	0	0	5	38
NCU06052	NCU06052	NCU06052-t26_1	protein_coding	0	19	0	121	9	3	11	39	0	0	0	0	0	0	0	0	0	0	0	16	62
NCU06054	NCU06054	NCU06054-t26_1	protein_coding	0	27	3	128	8	0	6	55	0	1	3	0	0	0	0	0	0	0	0	27	58
NCU06054	NCU06054	NCU06054-t26_2	protein_coding	0	27	3	128	8	0	6	55	0	1	3	0	0	0	0	0	0	0	0	27	58
NCU06055	NCU06055	NCU06055-t26_1	protein_coding	0	14	3	148	3	8	34	61	0	2	3	0	0	0	1	0	0	0	0	5	48
NCU06056	NCU06056	NCU06056-t26_1	protein_coding	0	16	1	123	6	0	2	69	0	0	1	0	0	0	0	0	0	0	0	16	46
NCU06057	NCU06057	NCU06057-t26_1	protein_coding	0	21	3	105	2	1	3	43	0	0	3	0	0	0	0	0	0	0	0	20	57
NCU06058	NCU06058	NCU06058-t26_1	protein_coding	0	6	3	119	8	0	0	56	0	0	3	0	0	0	0	0	0	0	1	5	55
NCU06059	NCU06059	NCU06059-t26_1	protein_coding	0	20	0	111	4	0	1	43	0	3	0	0	0	0	1	0	0	0	1	18	61
NCU06060	NCU06060	NCU06060-t26_1	protein_coding	0	2	5	119	0	0	0	60	0	2	5	0	0	0	0	0	0	0	0	2	57
NCU06061	NCU06061	NCU06061-t26_1	protein_coding	0	14	5	94	3	0	2	43	0	5	5	0	0	0	2	0	0	0	0	12	43
NCU06062	NCU06062	NCU06062-t26_1	protein_coding	0	12	2	106	4	0	3	57	0	0	2	0	0	0	0	0	0	0	0	12	42
NCU06063	NCU06063	NCU06063-t26_1	protein_coding	0	15	2	112	1	0	2	53	0	6	2	0	0	0	4	0	0	0	0	11	54
NCU06064	NCU06064	NCU06064-t26_1	protein_coding	2	0	1	99	0	0	0	42	0	7	1	0	0	2	0	0	0	0	0	0	52
NCU06065	NCU06065	NCU06065-t26_1	protein_coding	0	27	20	120	4	0	2	55	0	2	20	0	0	0	0	0	0	0	0	27	57
NCU06066	NCU06066	NCU06066-t26_1	protein_coding	0	2	0	116	8	0	1	58	0	1	0	0	0	0	0	0	0	0	0	2	48
NCU06067	NCU06067	NCU06067-t26_1	protein_coding	0	27	2	146	21	0	5	49	0	4	2	0	0	0	0	0	0	0	0	27	67
NCU06068	NCU06068	NCU06068-t26_1	protein_coding	0	32	23	118	0	0	0	47	0	1	23	0	0	0	0	0	0	0	0	32	70
NCU06069	NCU06069	NCU06069-t26_1	protein_coding	0	3	5	145	6	0	1	67	0	1	5	0	0	0	0	0	0	0	0	3	70
NCU06069	NCU06069	NCU06069-t26_2	protein_coding	0	3	4	145	6	0	1	67	0	1	4	0	0	0	0	0	0	0	0	3	70
NCU06070	NCU06070	NCU06070-t26_1	protein_coding	0	6	4	132	0	1	1	74	0	0	4	0	0	0	0	0	0	0	0	5	57
NCU06071	NCU06071	NCU06071-t26_1	protein_coding	0	18	5	118	6	0	0	51	0	3	5	0	0	0	1	0	0	0	0	17	59
NCU06072	NCU06072	NCU06072-t26_1	protein_coding	0	20	11	149	0	0	0	69	0	1	11	0	0	0	0	0	0	0	0	20	79
NCU06073	NCU06073	NCU06073-t26_1	protein_coding	0	21	10	148	20	2	9	61	0	6	10	0	0	0	0	0	0	0	0	19	52
NCU06073	NCU06073	NCU06073-t26_2	protein_coding	0	21	10	146	22	2	9	59	0	4	10	0	0	0	0	0	0	0	0	19	52
NCU06074	NCU06074	NCU06074-t26_1	protein_coding	0	6	8	127	0	0	2	50	0	0	8	0	0	0	0	0	0	0	0	6	75
NCU06075	NCU06075	NCU06075-t26_1	protein_coding	0	19	0	180	21	1	11	77	0	6	0	0	0	0	2	0	0	0	0	16	67
NCU06075	NCU06075	NCU06075-t26_2	protein_coding	0	19	0	126	3	1	3	68	0	5	0	0	0	0	2	0	0	0	0	16	49
NCU06076	NCU06076	NCU06076-t26_1	protein_coding	0	8	0	142	5	2	7	73	0	9	0	0	0	0	4	0	0	0	0	3	51
NCU06076	NCU06076	NCU06076-t26_2	protein_coding	0	8	0	142	5	2	7	73	0	9	0	0	0	0	4	0	0	0	0	3	51
NCU06076	NCU06076	NCU06076-t26_3	protein_coding	0	7	0	133	5	1	4	72	0	9	0	0	0	0	4	0	0	0	0	3	46
NCU06076	NCU06076	NCU06076-t26_4	protein_coding	0	8	2	130	5	1	4	72	0	6	2	0	0	0	4	0	0	0	0	4	46
NCU06077	NCU06077	NCU06077-t26_1	protein_coding	0	16	4	132	8	3	13	51	0	3	4	0	0	0	1	0	0	0	0	12	57
NCU06078	NCU06078	NCU06078-t26_1	protein_coding	0	3	6	110	2	1	2	34	0	0	6	0	0	0	0	0	0	0	0	2	72
NCU06079	NCU06079	NCU06079-t26_1	protein_coding	1	7	1	92	1	1	10	11	0	3	1	0	1	0	0	0	0	0	0	6	68
NCU06080	NCU06080	NCU06080-t26_1	protein_coding	0	19	2	93	0	0	1	81	0	1	2	0	0	0	0	0	0	0	0	19	10
NCU06081	NCU06081	NCU06081-t26_1	protein_coding	0	13	10	121	5	2	8	82	0	2	10	0	0	0	0	0	0	0	0	11	24
NCU06082	NCU06082	NCU06082-t26_1	protein_coding	0	7	11	138	0	0	0	62	0	1	11	0	0	0	0	0	0	0	0	7	75
NCU06083	NCU06083	NCU06083-t26_1	protein_coding	0	16	2	185	4	4	20	77	0	0	2	0	0	0	1	0	0	0	0	11	84
NCU06084	NCU06084	NCU06084-t26_1	protein_coding	0	15	3	159	5	0	6	72	0	0	3	0	0	0	0	0	0	0	0	15	76
NCU06085	NCU06085	NCU06085-t26_1	protein_coding	0	22	20	135	3	0	0	78	0	0	20	0	0	0	0	0	0	0	0	22	54
NCU06086	NCU06086	NCU06086-t26_1	protein_coding	0	4	0	138	5	0	2	88	0	0	0	0	0	0	0	0	0	0	0	4	43
NCU06088	NCU06088	NCU06088-t26_1	protein_coding	0	11	2	116	7	0	0	50	0	4	2	0	0	0	3	0	0	0	0	9	57
NCU06089	NCU06089	NCU06089-t26_1	protein_coding	0	26	5	108	6	1	5	44	0	1	5	0	0	0	0	0	0	0	0	25	52
NCU06090	NCU06090	NCU06090-t26_1	protein_coding	0	19	5	114	4	0	2	44	0	1	5	0	0	0	0	0	0	0	0	19	63
NCU06091	NCU06091	NCU06091-t26_1	protein_coding	0	7	1	122	8	0	4	50	0	4	1	0	0	0	1	0	0	0	0	6	57
NCU06094	NCU06094	NCU06094-t26_1	protein_coding	0	0	1	115	0	0	4	48	0	9	1	0	0	0	0	0	0	0	0	0	54
NCU06095	NCU06095	NCU06095-t26_1	protein_coding	0	11	9	104	11	0	6	47	0	7	9	0	0	0	0	0	0	0	0	11	33
NCU06095	NCU06095	NCU06095-t26_2	protein_coding	0	11	9	104	11	0	6	47	0	7	9	0	0	0	0	0	0	0	0	11	33
NCU06096	NCU06096	NCU06096-t26_1	protein_coding	0	1	0	110	0	0	0	47	0	4	0	0	0	0	0	0	0	0	0	1	59
NCU06098	NCU06098	NCU06098-t26_1	protein_coding	0	17	14	129	0	0	0	55	0	10	14	0	0	0	2	0	0	0	0	15	66
NCU06099	NCU06099	NCU06099-t26_1	protein_coding	0	18	1	160	19	0	10	67	0	1	1	0	0	0	0	0	0	0	0	18	63
NCU06101	NCU06101	NCU06101-t26_1	protein_coding	0	7	0	175	21	1	5	84	0	2	0	0	0	0	0	0	0	0	0	6	63
NCU06102	NCU06102	NCU06102-t26_1	protein_coding	0	18	2	147	2	0	1	59	0	0	2	0	0	0	0	0	0	0	0	18	85
NCU06103	NCU06103	NCU06103-t26_1	protein_coding	0	49	18	128	7	1	1	59	0	2	18	0	0	0	0	0	0	0	1	47	59
NCU06104	NCU06104	NCU06104-t26_1	protein_coding	0	9	1	152	7	0	7	79	0	0	1	0	0	0	0	0	0	0	0	9	59
NCU06105	NCU06105	NCU06105-t26_1	protein_coding	0	25	2	149	3	0	2	66	0	1	2	0	0	0	0	0	0	0	0	25	77
NCU06106	NCU06106	NCU06106-t26_1	protein_coding	0	14	9	146	0	0	0	78	0	7	9	0	0	0	1	0	0	0	0	13	62
NCU06107	NCU06107	NCU06107-t26_1	protein_coding	0	2	0	160	5	0	5	65	0	6	0	0	0	0	0	0	0	0	0	2	79
NCU06108	NCU06108	NCU06108-t26_1	protein_coding	0	14	0	170	16	0	1	79	0	9	0	0	0	0	1	0	0	0	0	13	66
NCU06109	NCU06109	NCU06109-t26_1	protein_coding	0	36	36	116	0	0	0	33	0	7	36	0	0	0	1	0	0	0	0	35	77
NCU06110	NCU06110	NCU06110-t26_1	protein_coding	0	12	1	104	4	1	6	42	0	3	1	0	0	0	0	0	0	0	0	11	49
NCU06110	NCU06110	NCU06110-t26_2	protein_coding	1	11	1	91	4	0	2	33	0	3	1	0	1	0	0	0	0	0	0	11	50
NCU06110	NCU06110	NCU06110-t26_3	protein_coding	0	11	1	92	4	0	5	33	0	0	1	0	0	0	0	0	0	0	0	11	50
NCU06110	NCU06110	NCU06110-t26_4	protein_coding	1	11	1	87	4	0	1	33	0	3	1	0	1	0	0	0	0	0	0	11	47
NCU06111	NCU06111	NCU06111-t26_1	protein_coding	0	11	2	99	0	1	8	35	0	0	2	0	0	0	0	0	0	0	1	9	56
NCU06112	NCU06112	NCU06112-t26_1	protein_coding	0	32	4	111	2	0	2	67	0	3	4	0	0	0	2	0	0	0	0	31	38
NCU06113	NCU06113	NCU06113-t26_1	protein_coding	0	6	3	137	9	0	4	56	0	0	3	0	0	0	0	0	0	0	0	6	68
NCU06114	NCU06114	NCU06114-t26_1	protein_coding	0	1	4	144	10	0	5	61	0	0	4	0	0	0	0	0	0	0	0	1	68
NCU06116	NCU06116	NCU06116-t26_1	protein_coding	0	10	5	157	1	1	9	80	0	0	5	0	0	0	0	0	0	0	0	9	67
NCU06117	NCU06117	NCU06117-t26_1	protein_coding	0	22	9	171	11	4	15	77	0	2	9	0	0	0	1	0	0	0	0	17	67
NCU06118	NCU06118	NCU06118-t26_1	protein_coding	0	34	4	142	6	0	0	60	0	3	4	0	0	0	1	0	0	0	0	33	74
NCU06119	NCU06119	NCU06119-t26_1	protein_coding	0	9	5	141	2	0	0	80	0	0	5	0	0	0	0	0	0	0	0	9	59
NCU06120	NCU06120	NCU06120-t26_1	protein_coding	0	7	0	141	6	1	4	78	0	0	0	0	0	0	1	0	0	0	0	5	53
NCU06121	NCU06121	NCU06121-t26_1	protein_coding	0	4	4	128	0	0	0	80	0	0	4	0	0	0	0	0	0	0	0	4	48
NCU06122	NCU06122	NCU06122-t26_1	protein_coding	0	30	1	148	15	0	12	71	0	3	1	0	0	0	0	0	0	0	0	30	47
NCU06123	NCU06123	NCU06123-t26_1	protein_coding	0	43	5	136	10	3	14	63	0	0	5	0	0	0	0	0	0	0	0	40	49
NCU06124	NCU06124	NCU06124-t26_1	protein_coding	1	1	2	136	0	0	0	65	0	11	2	0	1	0	0	0	0	0	0	1	61
NCU06125	NCU06125	NCU06125-t26_1	protein_coding	0	7	10	130	6	0	7	46	0	1	10	0	0	0	0	0	0	0	0	7	70
NCU06126	NCU06126	NCU06126-t26_1	protein_coding	0	4	10	100	0	0	0	63	0	0	10	0	0	0	0	0	0	0	0	4	37
NCU06127	NCU06127	NCU06127-t26_1	protein_coding	0	4	3	103	6	0	0	57	0	0	3	0	0	0	0	0	0	0	0	4	40
NCU06128	NCU06128	NCU06128-t26_1	protein_coding	0	4	2	95	9	0	0	41	0	0	2	0	0	0	0	0	0	0	0	4	45
NCU06129	NCU06129	NCU06129-t26_1	protein_coding	0	8	5	124	0	0	0	52	0	9	5	0	0	0	3	0	0	0	0	6	65
NCU06130	NCU06130	NCU06130-t26_1	protein_coding	0	6	4	152	17	0	5	63	0	0	4	0	0	0	0	0	0	0	0	6	67
NCU06131	NCU06131	NCU06131-t26_1	protein_coding	0	15	5	150	10	0	4	65	0	3	5	0	0	0	0	0	0	0	0	15	68
NCU06132	NCU06132	NCU06132-t26_1	protein_coding	0	31	0	132	1	2	7	70	0	0	0	0	0	0	0	0	0	0	0	29	54
NCU06133	NCU06133	NCU06133-t26_1	protein_coding	0	3	6	109	0	0	0	61	0	0	6	0	0	0	0	0	0	0	0	3	48
NCU06134	NCU06134	NCU06134-t26_1	protein_coding	0	5	2	110	0	0	0	51	0	0	2	0	0	0	0	0	0	0	0	5	59
NCU06135	NCU06135	NCU06135-t26_1	protein_coding	0	11	1	113	2	1	4	57	0	2	1	0	0	0	0	0	0	0	0	10	48
NCU06136	NCU06136	NCU06136-t26_1	protein_coding	0	6	0	147	7	0	0	83	0	0	0	0	0	0	0	0	0	0	0	6	57
NCU06137	NCU06137	NCU06137-t26_1	protein_coding	1	33	2	131	0	1	3	53	0	6	2	0	0	1	4	0	0	0	0	30	72
NCU06138	NCU06138	NCU06138-t26_1	protein_coding	0	33	6	129	0	0	1	64	0	2	6	0	0	0	1	0	0	0	0	32	63
NCU06139	NCU06139	NCU06139-t26_1	protein_coding	0	3	3	169	1	0	0	86	0	8	3	0	0	0	1	0	0	0	0	3	74
NCU06140	NCU06140	NCU06140-t26_1	protein_coding	0	9	2	149	8	1	10	66	0	6	2	0	0	0	0	0	0	0	0	8	59
NCU06141	NCU06141	NCU06141-t26_1	protein_coding	0	17	4	134	0	0	0	67	0	0	4	0	0	0	0	0	0	0	0	17	67
NCU06142	NCU06142	NCU06142-t26_1	protein_coding	0	12	5	145	8	0	3	62	0	4	5	0	0	0	1	0	0	0	0	11	69
NCU06143	NCU06143	NCU06143-t26_1	protein_coding	0	31	11	121	0	0	0	50	0	0	11	0	0	0	0	0	0	0	0	31	71
NCU06144	NCU06144	NCU06144-t26_1	protein_coding	0	27	12	134	2	0	9	56	0	6	12	0	0	0	1	0	0	0	1	25	62
NCU06145	NCU06145	NCU06145-t26_1	protein_coding	0	9	1	124	2	0	0	68	0	0	1	0	0	0	0	0	0	0	0	9	54
NCU06146	NCU06146	NCU06146-t26_1	protein_coding	0	15	15	110	1	0	0	64	0	0	15	0	0	0	0	0	0	0	0	15	45
NCU06147	NCU06147	NCU06147-t26_1	protein_coding	0	8	10	121	0	0	0	61	0	1	10	0	0	0	0	0	0	0	0	8	59
NCU06148	NCU06148	NCU06148-t26_1	protein_coding	0	20	3	141	0	0	0	66	0	7	3	0	0	0	1	0	0	0	0	19	69
NCU06149	NCU06149	NCU06149-t26_1	protein_coding	0	25	1	137	19	0	3	66	0	0	1	0	0	0	0	0	0	0	0	25	49
NCU06150	NCU06150	NCU06150-t26_1	protein_coding	0	5	3	118	12	0	3	57	0	0	3	0	0	0	0	0	0	0	0	5	46
NCU06150	NCU06150	NCU06150-t26_2	protein_coding	0	6	3	107	3	0	2	56	0	1	3	0	0	0	1	0	0	0	0	5	46
NCU06152	NCU06152	NCU06152-t26_1	protein_coding	0	9	1	118	0	0	0	60	0	1	1	0	0	0	1	0	0	0	0	8	58
NCU06153	NCU06153	NCU06153-t26_1	protein_coding	0	14	8	118	7	0	6	60	0	2	8	0	0	0	1	0	0	0	0	14	43
NCU06154	NCU06154	NCU06154-t26_1	protein_coding	0	3	7	110	0	0	0	56	0	0	7	0	0	0	0	0	0	0	0	3	54
NCU06155	NCU06155	NCU06155-t26_1	protein_coding	0	2	5	131	0	1	2	62	0	0	5	0	0	0	0	0	0	0	0	1	67
NCU06156	NCU06156	NCU06156-t26_1	protein_coding	0	3	2	142	3	0	0	64	0	1	2	0	0	0	0	0	0	0	0	3	74
NCU06157	NCU06157	NCU06157-t26_1	protein_coding	0	6	1	150	10	0	3	59	0	1	1	0	0	0	1	0	0	0	0	5	77
NCU06159	NCU06159	NCU06159-t26_1	protein_coding	0	25	7	136	0	0	0	61	0	5	7	0	0	0	4	0	0	0	0	23	72
NCU06160	NCU06160	NCU06160-t26_1	protein_coding	0	7	4	122	0	0	0	66	0	0	4	0	0	0	0	0	0	0	0	7	56
NCU06161	NCU06161	NCU06161-t26_1	protein_coding	0	5	6	126	0	0	0	64	0	2	6	0	0	0	0	0	0	0	0	5	60
NCU06163	NCU06163	NCU06163-t26_1	protein_coding	0	13	5	119	0	0	0	62	0	0	5	0	0	0	0	0	0	0	0	13	57
NCU06164	NCU06164	NCU06164-t26_1	protein_coding	0	6	14	148	1	0	0	82	0	2	14	0	0	0	0	0	0	0	0	6	63
NCU06165	NCU06165	NCU06165-t26_1	protein_coding	0	9	8	187	1	0	0	70	0	11	8	0	0	0	1	0	0	0	0	8	106
NCU06166	NCU06166	NCU06166-t26_1	protein_coding	0	26	9	168	2	2	6	70	0	0	9	0	0	0	0	0	0	0	0	24	90
NCU06167	NCU06167	NCU06167-t26_1	protein_coding	0	30	7	184	0	1	10	75	0	0	7	0	0	0	0	0	0	0	0	29	99
NCU06168	NCU06168	NCU06168-t26_1	protein_coding	0	21	4	189	27	1	4	56	0	0	4	0	0	0	1	0	0	0	0	19	102
NCU06169	NCU06169	NCU06169-t26_1	protein_coding	0	7	10	159	0	0	0	80	0	14	10	0	0	0	0	0	0	0	0	7	65
NCU06170	NCU06170	NCU06170-t26_1	protein_coding	0	8	0	160	6	1	6	68	0	1	0	0	0	0	0	0	0	0	0	7	79
NCU06171	NCU06171	NCU06171-t26_1	protein_coding	0	56	8	84	0	0	0	60	0	0	8	0	0	0	1	0	0	0	0	56	24
NCU06173	NCU06173	NCU06173-t26_1	protein_coding	0	26	11	127	18	0	6	43	0	1	11	0	0	0	0	0	0	0	0	26	59
NCU06173	NCU06173	NCU06173-t26_2	protein_coding	0	27	11	126	18	0	6	43	0	0	11	0	0	0	0	0	0	0	0	27	59
NCU06174	NCU06174	NCU06174-t26_1	protein_coding	0	9	0	140	5	0	3	75	0	1	0	0	0	0	1	0	0	0	0	8	57
NCU06175	NCU06175	NCU06175-t26_1	protein_coding	0	19	7	110	1	0	0	59	0	1	7	0	0	0	0	0	0	0	0	19	49
NCU06176	NCU06176	NCU06176-t26_1	protein_coding	0	8	2	110	5	0	0	46	0	10	2	0	0	0	1	0	0	0	0	7	50
NCU06176	NCU06176	NCU06176-t26_2	protein_coding	0	8	1	111	13	0	0	46	0	3	1	0	0	0	1	0	0	0	0	7	50
NCU06177	NCU06177	NCU06177-t26_1	protein_coding	0	29	5	110	2	0	1	49	0	1	5	0	0	0	1	0	0	0	0	28	58
NCU06179	NCU06179	NCU06179-t26_1	protein_coding	0	22	1	130	11	2	16	42	0	0	1	0	0	0	0	0	0	0	0	20	61
NCU06180	NCU06180	NCU06180-t26_1	protein_coding	0	10	6	98	0	0	0	54	0	0	6	0	0	0	0	0	0	0	0	10	44
NCU06181	NCU06181	NCU06181-t26_1	protein_coding	0	40	6	120	7	0	2	50	0	3	6	0	0	0	2	0	0	0	0	39	59
NCU06182	NCU06182	NCU06182-t26_1	protein_coding	0	40	1	144	7	0	5	73	0	0	1	0	0	0	0	0	0	0	0	40	59
NCU06183	NCU06183	NCU06183-t26_1	protein_coding	0	56	2	94	4	2	2	62	0	0	2	0	0	0	0	0	0	0	0	54	26
NCU06185	NCU06185	NCU06185-t26_1	protein_coding	0	5	0	110	9	1	13	29	0	0	0	0	0	0	0	0	0	0	0	4	59
NCU06186	NCU06186	NCU06186-t26_1	protein_coding	0	23	12	154	10	1	18	65	0	0	12	0	0	0	0	0	0	0	0	22	61
NCU06187	NCU06187	NCU06187-t26_1	protein_coding	0	16	1	145	3	0	3	65	0	5	1	0	0	0	2	0	0	0	0	14	71
NCU06189	NCU06189	NCU06189-t26_1	protein_coding	0	31	2	161	6	2	5	67	0	1	2	0	0	0	1	0	0	0	0	28	83
NCU06190	NCU06190	NCU06190-t26_1	protein_coding	0	56	31	128	0	0	4	63	0	16	31	0	0	0	2	0	0	0	0	54	47
NCU06191	NCU06191	NCU06191-t26_1	protein_coding	0	13	3	143	1	0	1	81	0	4	3	0	0	0	1	0	0	0	0	12	57
NCU06191	NCU06191	NCU06191-t26_2	protein_coding	0	15	3	137	1	1	1	81	0	2	3	0	0	0	1	0	0	0	0	13	53
NCU06192	NCU06192	NCU06192-t26_1	protein_coding	0	20	3	130	2	0	1	40	0	0	3	0	0	0	0	0	0	0	0	20	87
NCU06193	NCU06193	NCU06193-t26_1	protein_coding	0	31	2	136	7	0	0	82	0	0	2	0	0	0	0	0	0	0	0	31	47
NCU06194	NCU06194	NCU06194-t26_1	protein_coding	0	23	3	166	3	0	7	75	0	3	3	0	0	0	1	0	0	0	0	22	79
NCU06196	NCU06196	NCU06196-t26_1	protein_coding	0	26	13	191	13	1	16	90	0	0	13	0	0	0	0	0	0	0	0	25	72
NCU06197	NCU06197	NCU06197-t26_1	protein_coding	1	2	3	152	0	0	0	85	0	1	3	0	0	0	0	0	1	0	0	2	66
NCU06198	NCU06198	NCU06198-t26_1	protein_coding	0	16	0	170	18	0	9	71	0	6	0	0	0	0	0	0	0	0	0	16	66
NCU06199	NCU06199	NCU06199-t26_1	protein_coding	0	46	5	174	5	0	8	88	0	4	5	0	0	0	0	0	0	0	0	46	69
NCU06200	NCU06200	NCU06200-t26_1	protein_coding	0	15	3	141	1	0	0	68	0	6	3	0	0	0	0	0	0	0	0	15	66
NCU06201	NCU06201	NCU06201-t26_1	protein_coding	1	7	3	168	9	0	15	69	0	8	3	0	1	0	1	0	0	0	0	7	68
NCU06201	NCU06201	NCU06201-t26_2	protein_coding	0	6	4	155	4	1	7	69	0	8	4	0	0	0	0	0	0	0	0	5	67
NCU06202	NCU06202	NCU06202-t26_1	protein_coding	1	30	8	157	12	2	9	61	0	1	8	0	0	0	0	0	1	0	0	28	74
NCU06203	NCU06203	NCU06203-t26_1	protein_coding	0	4	1	174	13	2	19	68	0	1	1	0	0	0	0	0	0	0	0	2	73
NCU06204	NCU06204	NCU06204-t26_1	protein_coding	0	17	15	161	5	1	6	69	0	0	15	0	0	0	0	0	0	0	0	16	81
NCU06205	NCU06205	NCU06205-t26_1	protein_coding	0	26	0	167	9	1	7	92	0	5	0	0	0	0	2	0	0	0	0	24	55
NCU06206	NCU06206	NCU06206-t26_1	protein_coding	0	9	1	152	5	0	1	84	0	2	1	0	0	0	0	0	0	0	0	9	60
NCU06206	NCU06206	NCU06206-t26_2	protein_coding	0	11	1	146	3	0	1	83	0	0	1	0	0	0	0	0	0	0	0	11	59
NCU06207	NCU06207	NCU06207-t26_1	protein_coding	0	18	3	150	21	1	13	63	0	1	3	0	0	0	0	0	0	0	1	16	52
NCU06209	NCU06209	NCU06209-t26_1	protein_coding	0	8	0	159	15	0	6	76	0	0	0	0	0	0	0	0	0	0	0	8	62
NCU06210	NCU06210	NCU06210-t26_1	protein_coding	0	5	0	157	6	0	2	56	0	11	0	0	0	0	2	0	0	0	0	3	84
NCU06211	NCU06211	NCU06211-t26_1	protein_coding	0	14	3	146	5	0	3	56	0	12	3	0	0	0	4	0	0	0	0	10	73
NCU06211	NCU06211	NCU06211-t26_2	protein_coding	0	13	3	141	6	0	0	56	0	12	3	0	0	0	3	0	0	0	0	10	70
NCU06212	NCU06212	NCU06212-t26_1	protein_coding	0	7	0	135	2	0	6	64	0	3	0	0	0	0	0	0	0	0	0	7	60
NCU06213	NCU06213	NCU06213-t26_1	protein_coding	0	17	9	144	8	1	9	57	0	0	9	0	0	0	0	0	0	0	0	16	70
NCU06213	NCU06213	NCU06213-t26_2	protein_coding	0	17	9	144	8	1	9	57	0	0	9	0	0	0	0	0	0	0	0	16	70
NCU06214	NCU06214	NCU06214-t26_1	protein_coding	0	5	0	143	8	1	1	76	0	0	0	0	0	0	0	0	0	0	0	4	58
NCU06215	NCU06215	NCU06215-t26_1	protein_coding	0	29	22	143	1	0	0	80	0	2	22	0	0	0	0	0	0	0	0	29	60
NCU06216	NCU06216	NCU06216-t26_1	protein_coding	0	54	11	157	3	1	7	70	0	0	11	0	0	0	1	0	0	0	0	52	77
NCU06217	NCU06217	NCU06217-t26_1	protein_coding	0	36	2	153	7	0	1	65	0	0	2	0	0	0	0	0	0	0	0	36	80
NCU06218	NCU06218	NCU06218-t26_1	protein_coding	0	25	13	168	5	0	8	87	0	1	13	0	0	0	1	0	0	0	0	24	67
NCU06220	NCU06220	NCU06220-t26_1	protein_coding	1	21	3	162	10	0	3	74	0	0	3	0	0	0	0	0	0	1	0	21	75
NCU06220	NCU06220	NCU06220-t26_2	protein_coding	0	24	3	160	8	0	3	74	0	0	3	0	0	0	0	0	0	0	0	24	75
NCU06221	NCU06221	NCU06221-t26_1	protein_coding	0	11	5	160	0	0	0	63	0	1	5	0	0	0	0	0	0	0	0	11	96
NCU06222	NCU06222	NCU06222-t26_1	protein_coding	0	35	11	147	7	0	0	68	0	17	11	0	0	0	7	0	0	0	0	28	62
NCU06223	NCU06223	NCU06223-t26_1	protein_coding	1	13	4	163	0	0	0	93	0	2	4	0	0	0	0	0	1	0	0	13	68
NCU06224	NCU06224	NCU06224-t26_1	protein_coding	1	4	3	160	3	0	11	68	0	1	3	0	0	0	1	0	1	0	0	3	78
NCU06224	NCU06224	NCU06224-t26_2	protein_coding	1	5	3	154	3	0	2	68	0	5	3	0	0	0	2	0	1	0	0	3	78
NCU06224	NCU06224	NCU06224-t26_3	protein_coding	1	5	3	154	3	0	2	68	0	5	3	0	0	0	2	0	1	0	0	3	78
NCU06226	NCU06226	NCU06226-t26_1	protein_coding	0	0	0	138	6	0	2	64	0	3	0	0	0	0	0	0	0	0	0	0	63
NCU06227	NCU06227	NCU06227-t26_1	protein_coding	0	10	5	147	24	0	1	67	0	4	5	0	0	0	0	0	0	0	0	10	51
NCU06228	NCU06228	NCU06228-t26_1	protein_coding	0	7	1	151	1	1	7	67	0	7	1	0	0	0	1	0	0	0	0	5	70
NCU06229	NCU06229	NCU06229-t26_1	protein_coding	0	1	2	139	0	0	1	69	0	0	2	0	0	0	0	0	0	0	0	1	69
NCU06230	NCU06230	NCU06230-t26_1	protein_coding	0	24	1	145	2	2	23	54	0	0	1	0	0	0	0	0	0	0	0	22	66
